language,n,m,load,input_file,op,tempo_medio_ms,desvio_padrao_ms,nos_visitados
cpp,100,500,query,/workspace/data/input_n100_m500_s42_all_equal_query.txt,build,0.0014452333333333334,0.00011830838817532625,199
cpp,100,500,query,/workspace/data/input_n100_m500_s42_duplicates_query.txt,batch_ops,0.16524716666666667,0.0059634094279822115,29664
cpp,100,500,query,/workspace/data/input_n100_m500_s42_duplicates_query.txt,build,0.0014513999999999998,0.00012961257921072005,199
cpp,100,500,query,/workspace/data/input_n100_m500_s42_nearly_sorted_query.txt,batch_ops,0.1746078,0.012894453590862099,29664
cpp,100,500,query,/workspace/data/input_n100_m500_s42_nearly_sorted_query.txt,build,0.0016009666666666666,0.00022692767848891382,199
cpp,100,500,query,/workspace/data/input_n100_m500_s42_random_query.txt,batch_ops,0.17087126666666666,0.011159050497036128,29664
cpp,100,500,query,/workspace/data/input_n100_m500_s42_random_query.txt,build,0.0014655,0.00020739879127104293,199
cpp,100,500,query,/workspace/data/input_n100_m500_s42_sorted_query.txt,batch_ops,0.1730692,0.005941055806550855,29664
cpp,100,500,query,/workspace/data/input_n100_m500_s42_sorted_query.txt,build,0.0015129333333333333,8.062169355244513e-05,199
cpp,100,500,update,/workspace/data/input_n100_m500_s42_all_equal_update.txt,batch_ops,0.06747996666666665,0.0055233616293436484,6872
cpp,100,500,update,/workspace/data/input_n100_m500_s42_all_equal_update.txt,build,0.0021109666666666665,0.003602821714877855,199
cpp,100,500,update,/workspace/data/input_n100_m500_s42_duplicates_update.txt,batch_ops,0.06436789999999999,0.006568709511374937,6872
cpp,100,500,update,/workspace/data/input_n100_m500_s42_duplicates_update.txt,build,0.0016426333333333335,0.000321385415128738,199
cpp,100,500,update,/workspace/data/input_n100_m500_s42_nearly_sorted_update.txt,batch_ops,0.06905766666666667,0.014344490643312927,6872
cpp,100,500,update,/workspace/data/input_n100_m500_s42_nearly_sorted_update.txt,build,0.0013877,0.00013662815128712648,199
cpp,100,500,update,/workspace/data/input_n100_m500_s42_random_update.txt,batch_ops,0.06368846666666667,0.005917207331359857,6872
cpp,100,500,update,/workspace/data/input_n100_m500_s42_random_update.txt,build,0.0013879666666666668,0.0001494386007773723,199
cpp,100,500,update,/workspace/data/input_n100_m500_s42_sorted_update.txt,batch_ops,0.0687309,0.020287671085984796,6872
cpp,100,500,update,/workspace/data/input_n100_m500_s42_sorted_update.txt,build,0.0015477,0.0002926182814191377,199
cpp,1000,1000,mixed,/workspace/data/input_n1000_m1000_s42_all_equal_mixed_5050.txt,batch_ops,0.4300629,0.04355158645699018,61121
cpp,1000,1000,mixed,/workspace/data/input_n1000_m1000_s42_all_equal_mixed_5050.txt,build,0.012023066666666667,0.001604598777508449,1999
cpp,1000,1000,mixed,/workspace/data/input_n1000_m1000_s42_duplicates_mixed_5050.txt,batch_ops,0.44970703333333334,0.036879422421877285,61121
cpp,1000,1000,mixed,/workspace/data/input_n1000_m1000_s42_duplicates_mixed_5050.txt,build,0.013898899999999999,0.004020706880293734,1999
cpp,1000,1000,mixed,/workspace/data/input_n1000_m1000_s42_nearly_sorted_mixed_5050.txt,batch_ops,0.4316963,0.03419819681589398,61121
cpp,1000,1000,mixed,/workspace/data/input_n1000_m1000_s42_nearly_sorted_mixed_5050.txt,build,0.0128462,0.0024686398935725587,1999
cpp,1000,1000,mixed,/workspace/data/input_n1000_m1000_s42_random_mixed_5050.txt,batch_ops,0.4333274,0.04444238003310463,61121
cpp,1000,1000,mixed,/workspace/data/input_n1000_m1000_s42_random_mixed_5050.txt,build,0.011988400000000001,0.0009612559169810265,1999
cpp,1000,1000,mixed,/workspace/data/input_n1000_m1000_s42_sorted_mixed_5050.txt,batch_ops,0.4393311333333333,0.03899300109147204,61121
cpp,1000,1000,mixed,/workspace/data/input_n1000_m1000_s42_sorted_mixed_5050.txt,build,0.012566433333333333,0.0016749146490520632,1999
cpp,1000,1000,query,/workspace/data/input_n1000_m1000_s42_all_equal_query.txt,batch_ops,0.5364781333333333,0.03476367325710042,98004
cpp,1000,1000,query,/workspace/data/input_n1000_m1000_s42_all_equal_query.txt,build,0.012342733333333333,0.0019456596954695634,1999
cpp,1000,1000,query,/workspace/data/input_n1000_m1000_s42_duplicates_query.txt,batch_ops,0.5556274666666667,0.040342331662679164,98004
cpp,1000,1000,query,/workspace/data/input_n1000_m1000_s42_duplicates_query.txt,build,0.012584833333333333,0.0019090012749645015,1999
cpp,1000,1000,query,/workspace/data/input_n1000_m1000_s42_nearly_sorted_query.txt,batch_ops,0.5553548666666667,0.029262316521227544,98004
cpp,1000,1000,query,/workspace/data/input_n1000_m1000_s42_nearly_sorted_query.txt,build,0.012563233333333333,0.0015494324363174551,1999
cpp,1000,1000,query,/workspace/data/input_n1000_m1000_s42_random_query.txt,batch_ops,0.5440671666666667,0.029085710656945277,98004
